Horse,HighestLevel,CDI,USDFNumber,Sire,Damsire,Country,Breeder,Studbook,InternationalTeam,TeamMade,AverageGP,FirstYear,LastYear
Cameron de Mesille,Prix St. Georges,No,1001985,Carismo,Ravallo,Germany,Karl Stottmeister,Hanoverian,No,NULL,NULL,2003,2015
Caletino,FEI 6 Year Old,No,47196,Caretino,Caletto I,Netherlands,NULL,KWPN,No,NULL,NULL,2003,2006
Currency DC,Grand Prix,Yes,1035693,Clintino,Classiker,Germany,Zuchterhof Klatte,Oldenburg,No,NULL,66.353,2005,2017
Grand Makana,Grand Prix,Yes,1015161,Goodman,Werther,Germany,Manfred Schaefer,Hanoverian,No,NULL,60.039,2004,2019
Brigadier,I-1,Yes,39969,Batido,Art Deco,USA,Page Hinds-Athan,Oldenburg,No,NULL,NULL,2004,2015
Cash Confetti,Third Level,No,46742,Cordobes II,Drossan,Germany,Martin Lange,Westfalen,No,NULL,NULL,2004,2007
Wolkenwand,Grand Prix,No,1019513,Wolkenstein II,Walt Disney I,Germany,Bernd Meyer,Hanoverian,No,NULL,62.976,2004,2018
Pacino,Grand Prix,Yes,40947,Parabol,Cor Noir,USA,Hilltop Farm,Oldenburg,No,NULL,65.724,2004,2016
Catapult,Grand Prix,Yes,1011519,Cantour,Condino,USA,Susan Randall,Holsteiner,No,NULL,63.582,2003,2021
Carreras,Prix St. Georges,No,1039798,Contucci,Furst,USA,Holly Oak Farm and Hilltop Farm,Oldenburg,No,NULL,NULL,2005,2012
Laural,Fourth Level,No,44895,Londonderry,Weltmeyer,USA,Sullivan Farm,Hanoverian,No,NULL,NULL,2004,2009
Twilight,Prix St. Georges,No,1013083,Ferro,Rampal,USA,Peggy Mills,KWPN,No,NULL,NULL,2005,2012
Carnegie,I-1,Yes,39789,Contucci,Martini,USA,Zada Steidl,Oldenburg,No,NULL,NULL,2004,2010
Florian,FEI 5 Year Old,No,1027982,Florestan I, ,Germany,Wilhelm Bunge,Westfalen,No,NULL,NULL,2005,2005
Double Entendre,Second Level,No,1023695,Frohwind,Baron,USA,Vanessa Carlson,Oldenburg,No,NULL,NULL,2004,2011
Fino,I-1,Yes,1020034,Fidermark,Worldchamp,Germany,Eberhard Schulte-Boecker,Rhinelander,No,NULL,NULL,2004,2011
Golden Choice DC,Grand Prix,Yes,1016898,Grand Cru,Westbury,Germany,Hermann Stemmann,Hanoverian,No,NULL,63.188,2004,2012
Don Principe,Grand Prix,Yes,1033231,Donnerhall,Prince Thatch xx,Germany,A. Bruening,Hanoverian,No,NULL,65.467,2005,2019
Superman,Grand Prix,Yes,1025218,Mondriaan,Cabochon,Netherlands,Annette Barneveld,KWPN,No,NULL,63.703,2004,2011
Raphoni-Solyst,Fourth Level,No,1034884,Ragazzo,Alibi,Denmark,NULL,Danish Warmblood,No,NULL,NULL,2005,2018
Dark Dream,Fourth Level,No,1024951,Dream of Glory,Pik Bube,Germany,NULL,Rhinelander,No,NULL,NULL,2004,2008
Staccato,I-1,No,38395,Idocus,Domino,USA,Yolanda Williamson,KWPN,No,NULL,NULL,2004,2011
Savant,Prix St. Georges,No,1006243,Kupido,Heineke,USA,Reta Conner,American Warmblood,No,NULL,NULL,2005,2007
Cobra,Prix St. Georges,No,1038443,Contucci,Wallstreet Kid,USA,Meg Williams,Hanoverian,No,NULL,NULL,2005,2015
Ghambade,Grand Prix,No,39135,Gold Luck,Trapper,USA,Maurine Swanson,Hanoverian,No,NULL,55.225,2005,2018
Tap Dance,Prix St. Georges,No,1045200,Negro,Elmshorn,Netherlands,T.H. Van Eert,KWPN,No,NULL,NULL,2006,2008
Starlight Express,Fourth Level,No,1030587,Sandro Hit,Goldschatz,Germany,Willi Mausbach,Rhinelander,No,NULL,NULL,2005,2017
Lullaby,I-1,No,1043482,Londonderry,Duntroon,Germany,Hubert Brunsmann,Hanoverian,No,NULL,NULL,2005,2008
Tacolando Triple R,Prix St. Georges,No,1015498,Ircolando,Akteur,Netherlands,H. Van Ramselaar,KWPN,No,NULL,NULL,2004,2009
Talent,Grand Prix,Yes,1019399,Jazz,Ferro,Netherlands,A. Verdellen,KWPN,No,NULL,61.31,2004,2016
Up to Date,I-1,No,43689,Flemmingh,Argus,Netherlands,O. Veltman,KWPN,No,NULL,NULL,2005,2017
Gisele,Fourth Level,No,1048833,Welt Hit I O,NULL,Germany,Ulrich Kasselman,Oldenburg,No,NULL,NULL,2006,2011
Roter Milan,Grand Prix,Yes,1037498,Rotspon,Matcho AA,Germany,Uwe Heinrichs,Hanoverian,No,NULL,61.022,2006,2021
Unitas,Grand Prix,Yes,1032242,Niagara,Harald,Netherlands,Andries de Vos,KWPN,No,NULL,59.402,2005,2023
Harmony's FX,I-1,No,1039669,Florestan I,Merlino,Germany,Eva Pape,Hanoverian,No,NULL,NULL,2005,2021
Donnermuth,Prix St. Georges,No,1029497,Don Bedo,Worldchamp,Germany,Eberhard Schulte-Boecker,Rhinelander,No,NULL,NULL,2005,2014
Donates,I-2,Yes,1019322,Diamond Hit,Rubinstein,Germany,Gerd Berges,Oldenburg,No,NULL,NULL,2004,2013
Mix Max,Third Level,No,1025834,Milan,Bajazzo xx,Denmark,Jorgen Olsen,Danish Warmblood,No,NULL,NULL,2005,2007
Leopold Q,Grand Prix,Yes,1031405,Loerke,Wertherson,USA,Suzanne Quarles,Hanoverian,No,NULL,62.124,2005,2015
Eeltsje F,Grand Prix,No,1044103,Fabe 348,Tjimme,Netherlands,Stal Widjewormer,Friesian,No,NULL,65.77,2006,2016
Donarweiss GGF,Grand Prix,Yes,41002,De Niro,Archipel,USA,Greengate Farms,Hanoverian,No,NULL,65.311,2005,2018
Redford,I-2,No,1028940,Riccione,Wenzel I,Germany,Heiner Hormann,Hanoverian,No,NULL,NULL,2006,2013
S Infinity,I-2,Yes,1024407,Sandro Hit,Lados,Germany,Heinrich-Bernhard Wulf,Westfalen,No,NULL,NULL,2005,2013
BW-Callista,Prix St. Georges,No,44921,Contucci,A Jungle Prince,USA,Linda Santomenna,Oldenburg,No,NULL,NULL,2006,2014
Roccoca WF,FEI 6 Year Old,No,1047389,Rienzi,Tin Rocco xx,USA,Vanessa Carlson,Hanoverian,No,NULL,NULL,2006,2011
Faulkner,I-B,Yes,1044238,Friendship,Wolkenstein II,Germany,Dr. Ina Spreckels,Hanoverian,No,NULL,NULL,2006,2014
Fedora,Second Level,No,44344,Ruffian,Feiner Graf,USA,Teresa Smith,Oldenburg,No,NULL,NULL,2006,2010
Quno,I-1,No,1045522,Quattro B,Argentinus,Germany,Claus Heuppe,Oldenburg,No,NULL,NULL,2006,2019
Froelich,Grand Prix,No,45334,Festrausch,Landadel,USA,Suellen Meyers,Oldenburg,No,NULL,52.933,2006,2017
Vivaldi-V,I-1,No,1041299,Obelisk,El Corona,Netherlands,Bert Rutten,KWPN,No,NULL,NULL,2005,2009
Solaris Hit,FEI Junior,No,1049161,Sandro Hit,Rubinstein,Germany,Heinrich Giesselmann,Hanoverian,No,NULL,NULL,2006,2011
Calimar,Grand Prix,Yes,47128,Contucci,Martini,USA,Zada Steidl,Oldenburg,No,NULL,63.45,2006,2016
Ready or Not,I-1,No,1045678,Rotspon,Gluecksgriff,Germany,Heiko Wiechert,Hanoverian,No,NULL,NULL,2006,2018
Fivestar,Fourth Level,No,1049168,Justiz,Caprimond,USA,Laura Wharton,Trakehner,No,NULL,NULL,2006,2015
Labadia,USEF 4 Year Old,No,1049188,Londonderry,NULL,Germany,NULL,Hanoverian,No,NULL,NULL,2006,2006
Raison de Joie,Fourth Level,No,1022443,Regulus,Kabaley xx,USA,Dreamtime Farm,American Warmblood,No,NULL,NULL,2006,2020
Last Call,FEI 6 Year Old,No,1044206,Martini,Lolos,USA,Deonna Donohue,Trakehner,No,NULL,NULL,2006,2008
Vega,Prix St. Georges,No,1047877,Jazz,Purioso,Netherlands,A. Jacobi,KWPN,No,NULL,NULL,2006,2017
Flamboyant,USEF 4 Year Old,No,1021798,Furst Heinrich,Donnerschwee,Germany,Karl Heinz-Schmacker,Oldenburg,No,NULL,NULL,2006,2006
V-Frolik,Prix St. Georges,No,1042636,Obelisk,Hitchcock,Netherlands,Bert Rutten,KWPN,No,NULL,NULL,2005,2022
Don Angelo,Grand Prix,Yes,1043373,Don Larino,Rubinstein,Germany,Harmut Janssen,Oldenburg,No,NULL,66.167,2006,2012
Come On III,Grand Prix,Yes,1043143,Come Back II,Lantaan,Denmark,M. OG B. Klove-Morgensen,Danish Warmblood,No,NULL,67.527,2006,2015
Sandor,Grand Prix,Yes,1016724,Flemmingh,Blanc Rivage xx,Netherlands,ASM Bergmans-Wagemans,KWPN,No,NULL,63.334,2004,2015
Farinelli,Grand Prix,Yes,1043152,Florestan I,Weltmeyer,Germany,Hannelore Mainka,Westfalen,No,NULL,68.298,2005,2009
D'Artagnan,Grand Prix,No,1027759,Del Piero,Pik Koenig,Germany,Wilfried Grabow,Hanoverian,No,NULL,64.108,2004,2018
Toscano,Grand Prix,Yes,1056132,Jazz,Juventus,Netherlands,A. Delissen,KWPN,No,NULL,65.98,2007,2013
Rotterdam,I-1,Yes,1042105,Welt Hit II,Darwin,Netherlands,R. Pepping,KWPN,No,NULL,NULL,2006,2011
Liberty LHF,I-1,No,1028200,Longchamp,Leibwaechter,Germany,Ulrike Lahmann-Gehrke,Hanoverian,No,NULL,NULL,2005,2008
Viva Las Vegas,Grand Prix,Yes,44370,Art Deco,Guardian,USA,Jeri Yarbrough,ISR,No,NULL,53.617,2003,2011
Don Perry,I-2,Yes,1044689,Don Primero,Matrose,Germany,Alfons Thomsen,Hanoverian,No,NULL,NULL,2006,2017
Cabana Boy,I-1,Yes,45251,Contucci,Bordeaux,USA,Doug and Shannon Langer,Hanoverian,No,NULL,NULL,2006,2010
Lacord,Prix St. Georges,No,1061422,Laurentianer,D'Accord,Germany,Friederich-Wilhem Schluter,Westfalen,No,NULL,NULL,2007,2014
Lord Albert,Grand Prix,Yes,1057386,Londonderry,Brentano II,Germany,Albert Schmidt,Hanoverian,No,NULL,64.465,2007,2019
Cipriani,Grand Prix,Yes,1042807,Casparino,Rabino,Germany,Herman Gerland,Westfalen,No,NULL,66.431,2006,2020
Hit Parade SFS,Fourth Level,No,1057888,Show Star,Ehrentusch,Germany,Johann U. Willi Lenzen,Rhinelander,No,NULL,NULL,2007,2009
Valiant,Second Level,No,1049336,Dacaprio,Montecristo,Netherlands,L. Martens,KWPN,No,NULL,NULL,2006,2019
Valeska DG,Fourth Level,No,45153,Krack C,Farrington,USA,DG Bar Ranch,KWPN,No,NULL,NULL,2007,2009
Rochefort,I-1,Yes,1052425,Regazzoni,Donnerhall,USA,Hilltop Farm,Hanoverian,No,NULL,NULL,2007,2014
Valkyriez,Fourth Level,No,1051041,Zeoliet,Consul,USA,Timothy Cudd,KWPN,No,NULL,NULL,2006,2013
Voltaage,FEI 5 Year Old,No,1043601,Sieger,Inxcess,USA,Reta Conner,American Warmblood,No,NULL,NULL,2006,2007
Donavan,Fourth Level,No,117389,Domiro,Diamont,USA,Glenwood Farms,Hanoverian,No,NULL,NULL,2006,2016
Grandioso,I-2,Yes,1049928,Grosso Z,Palisandergrund,Germany,Willi Hillebrecht,Westfalen,Yes,Pan American Games,NULL,2006,2011
Ronaldo 109,Grand Prix,Yes,1051209,Rockwell,Ehrentusch,Germany,Thomas Holling,Westfalen,No,NULL,57.916,2006,2019
Sancette,Grand Prix,Yes,1057890,Sandro Hit,Contender,Germany,Dietrich Meyer,Hanoverian,Yes,Olympic Games and World Equestrian Games,65.071,2007,2019
Leonessa,Third Level,No,1047123,Heslegards Louis,Wenzel I,Germany,Christine Goedecke,Hanoverian,No,NULL,NULL,2006,2020
Algebraic Expression,I-2,No,1043124,Abanos,Ferro,Germany,GEBR Kremers,Rhinelander,No,NULL,NULL,2006,2019
Amadeus,Grand Prix,No,1032434,Acorado I,Ritual,Germany,Reinhardt Warning,Hanoverian,No,NULL,61.21,2005,2019
Collector's Item,I-1,No,1035043,Clintino,Contango,Germany,Franz Diekmann,Oldenburg,No,NULL,NULL,2005,2011
Rolex H,I-1,No,1016601,River H,Gonfaron,USA,Angela Hecker-Jackson,Oldenburg,No,NULL,NULL,2005,2012
Waterloo SE,I-1,Yes,1053012,OO Seven,Jazz,USA,Siegi Belz-Fry,KWPN,No,NULL,NULL,2007,2017
Reliance,Prix St. Georges,No,1061628,Rohdiamant,Classiker,Germany,Oliver Kotschofsky,Oldenburg,No,NULL,NULL,2007,2017
River Side Lady,Grand Prix,Yes,1054073,Royal Diamond,Donnerhall,Germany,BG Schroeder and Hanken,Hanoverian,No,NULL,54.458,2006,2019
Winston,Grand Prix,No,1057170,Worldly,Walzertraum,Germany,Jochen Schrader,Hanoverian,No,NULL,59.652,2007,2019
Sandomere,Grand Prix,Yes,1056152,Sandro Hit,Ramiro's Match,Germany,Marion Menck,Oldenburg,No,NULL,63.085,2007,2015
Willa,First Level,No,1062049,Kennedy,Casanova,USA,Elizabeth Schaffner,KWPN,No,NULL,NULL,2007,2008
Davy Crockett,FEI 5 Year Old,No,1026565,Donavan,Weltbekannt,USA,Nancy Bowlus,Hanoverian,No,NULL,NULL,2007,2009
