Horse,HighestLevel,CDI,USDFNumber,Sire,Damsire,Country,Breeder,Studbook,InternationalTeam,TeamMade,AverageGP,FirstYear,LastYear
Baryshnikov,Grand Prix,Yes,1029967,Forward Commander,Hurstwood Solitary,USA,Elisabeth Goth,Hackney,No,NULL,61.407,2005,2019
Sandro Simian,Grand Prix,Yes,1047973,Sandro Hit,Bonjour,Germany,Heinrich Lahmeyer,Oldenburg,No,NULL,62.9,2006,2017
Bellagio,Grand Prix,No,1049660,Limerick,NULL,USA,NULL,KWPN/TB,No,NULL,62.624,2006,2013
Titaan,I-1,No,1032004,Metall,Falco,Netherlands,J.A. Van Eck,KWPN,No,NULL,NULL,2005,2015
Faberge,Grand Prix,Yes,1080424,Florestan I,Brentano II,Germany,Eva-Maria and Hubertus ZG Hoff,Westfalen,No,NULL,66.058,2009,2020
Warsteiner,Grand Prix,Yes,1062073,Riverman,Roemer,Netherlands,H. Davelaar,KWPN,No,NULL,70.335,2007,2020
Romeo,I-1,No,1068273,Rotspon,Matcho AA,Germany,NULL,Hanoverian,No,NULL,NULL,2007,2017
Walking on Sunshine,I-2,No,1057223,Worldly,Davignon I,Germany,Hans-Wilhelm Schmoldt,Hanoverian,No,NULL,NULL,2007,2017
Contendion,Grand Prix,No,1010788,Contendro I,Wanderer,USA,Judy Pappin,Hanoverian,No,NULL,63.345,2008,2021
Royal Waltz,Grand Prix,No,1061037,Routinier,Vienna Waltz,USA,Beth Norton,Westfalen,No,NULL,55.906,2007,2018
Bijoux,Fourth Level,No,1072366,Bugatti Hilltop, ,USA,Margaret Drury,Hanoverian,No,NULL,NULL,2008,2013
San Shivago,Prix St. Georges,No,1068461,Sandro Hit,Donnerhall,Germany,Walter Huning,Westfalen,No,NULL,NULL,2008,2014
Zalona DG,I-1,No,1037393,Ferro,Wanroij,USA,DG Bar Ranch,KWPN,No,NULL,NULL,2008,2018
Steinway,I-1,Yes,1037788,Sandro Hit,Rubinstein,USA,Nancy Holowesko,Oldenburg,No,NULL,NULL,2008,2022
Adora's Radiant Heart,FEI 5 Year Old,No,1077829,Furst Piccolo,Montmartre,Germany,Eckard Niedermowwe,Westfalen,No,NULL,NULL,2009,2009
Rashka,I-1,No,1026428,Raymeister,Opus,USA,Kenneth Borden,Oldenburg,No,NULL,NULL,2007,2018
Hudson,Grand Prix,No,1080578,His Highness,Walt Disney I,Germany,NULL,Hanoverian,No,NULL,54.239,2009,2022
Pikko del Rio,I-1,No,1069468,Pik L,Rohdiamant,USA,Horses Unlimited,Hanoverian,No,NULL,NULL,2008,2023
Zorba SE,FEI 5 Year Old,No,1065611,OO Seven,Wanroij,USA,Siegi Belz-Fry,KWPN,No,NULL,NULL,2008,2009
Hyperion SF,Third Level,No,1073559,His Highness,Wonderful,Germany,Stefan Blanken,Hanoverian,No,NULL,NULL,2008,2012
Aesthete,I-2,Yes,1071800,Trento B,Gribaldi,Netherlands,GEBR Van Der Steen,KWPN,No,NULL,NULL,2009,2016
Bon Chance,Grand Prix,Yes,1075194,Belissimo M,Weltmeyer,Germany,Marefield Meadows,Hanoverian,No,NULL,64.087,2009,2023
Sabati,Fourth Level,No,1040689,Sandro Hit,Rubinstein,USA,Nancy Holowesko,Oldenburg,No,NULL,NULL,2009,2012
Sir Rocco,Third Level,No,1074634,Sir Bedo,Florestan I,Germany,Ulrich Erfling,Westfalen,No,NULL,NULL,2009,2022
Whitney,Grand Prix,Yes,1079319,White Star,Grand Cru,Germany,Katharina Bremer,Hanoverian,No,NULL,64.665,2009,2023
WakeUp,Grand Prix,Yes,1055334,Wagnis,Macho,USA,Beverly McLean,American Warmblood,No,NULL,69.407,2009,2019
Suntreader,Fourth Level,No,1075226,Sandro Hit,Rubirando,USA,Pamela Erdman,Oldenburg,No,NULL,NULL,2008,2012
Dostojewski SF,Prix St. Georges,No,1077594,Don Crusador,Werther,Germany,Heinrich Habermann Jun.,Hanoverian,No,NULL,NULL,2009,2022
Ahlaya,First Level,No,1073122,U Dance,Calme,USA,Jerry Mathews,KWPN,No,NULL,NULL,2008,2009
Alleluia WRF,Third Level,No,1075732,Sir Sinclair,Zeoliet,USA,Judy Reggio,KWPN,No,NULL,NULL,2009,2016
Andiamo,Second Level,No,1077813,Haarlem,Volckmar,USA,Bianco Cavallino Farms,KWPN,No,NULL,NULL,2009,2013
Armani,I-2,Yes,1081058,Sydney,Weyden,Netherlands,N.W.J. Krol,KWPN,No,NULL,NULL,2009,2016
Pikk Elena HU,Grand Prix,Yes,1076069,Pik L,Don Primero,USA,Horses Unlimited,Hanoverian,No,NULL,53.696,2009,2021
Rigo,Grand Prix,Yes,1056071,Rotspon,Wolkenstein II,Germany,H. Martfeld,Hanoverian,No,NULL,67.305,2007,2020
GP Delano,I-1,Yes,1065247,Diamond Hit,Weltmeyer,Germany,Rudi Henn,Rhinelander,No,NULL,NULL,2007,2016
Contester II,I-2,Yes,1007378,Contender,Lancetto,Germany,Gestut Charlottenhof,Holsteiner,No,NULL,NULL,2006,2012
Rosevelt,Grand Prix,Yes,1084612,Rotspon,Lauries Crusador xx,Germany,Henry Peters,Hanoverian,Yes,Olympic Games,70.347,2010,2016
Udo,Grand Prix,Yes,1069213,Kennedy,Naturel,Netherlands,J.H. Dobblesteen,KWPN,No,NULL,65.679,2008,2019
Volontaire,I-2,Yes,1063919,Concorde,Ramiro Z,Netherlands,G.J.M. Wijdeven,KWPN,No,NULL,NULL,2007,2012
Ebikur,Grand Prix,Yes,1043140,Epikur,Figaro,Germany,Ernst Meier,Oldenburg,No,NULL,63.332,2006,2020
Uberlinus,Grand Prix,Yes,1033936,Metall,Amethist,Netherlands,A. Popken-Tolner,KWPN,No,NULL,62,2005,2021
Udon P,Grand Prix,Yes,1083507,Hierarch,Uniform,Netherlands,J.H. Prakken,KWPN,No,NULL,68.41,2010,2019
Benidetto,Grand Prix,Yes,1084544,Belissimo M,Cordoba,Germany,Jochen Dittmer,Hanoverian,No,NULL,64.585,2010,2023
Zefier,Prix St. Georges,No,1084254,Sir Sinclair,Damiro,Netherlands,H.B.G. Holleman-Hilderink,KWPN,No,NULL,NULL,2010,2013
De Facto,Grand Prix,No,1084614,Don Rubin,Roulette,Germany,Berit and Jens Sager,Oldenburg,No,NULL,64.242,2010,2016
Benise,Grand Prix,No,1072240,Breitling W,Rubinstein,Germany,Jurgen Hoops,Hanoverian,No,NULL,65.708,2008,2019
Laika,Fourth Level,No,1078332,Londonderry,Weltmeyer,Germany,Hermann Meyer,Hanoverian,No,NULL,NULL,2009,2012
Super Crusador,Grand Prix,Yes,1070849,Stedinger,Weltmeyer,Germany,Hermann Meyer,Hanoverian,No,NULL,61.827,2008,2020
Schroeder,Grand Prix,Yes,1072580,Sandro Hit,Escudo I,Denmark,Heinz Tiedje Sen,Hanoverian,No,NULL,61.724,2009,2023
Diamonds N Roses,Prix St. Georges,No,1079534,Diamond,Feiner Stern,USA,Kate Krelina,Oldenburg,No,NULL,NULL,2009,2013
Adjedorijke,Prix St. Georges,No,1081420,Spielberg,Jazz,Netherlands,PWTJ Pansier,KWPN,No,NULL,NULL,2010,2018
Amethyst,Fourth Level,No,1073991,United,Seclusive Z,Netherlands,J.M.J. Van Arkel,KWPN,No,NULL,NULL,2008,2013
Seraphine,Prix St. Georges,No,1077599,Sir Donnerhall I,Rubinstein,Germany,Heinrich Giesselmann,Hanoverian,No,NULL,NULL,2010,2014
Bellino,Grand Prix,Yes,1077049,Belissimo M,Donnerhall,Germany,Gerlinde Reinhardt,Hanoverian,No,NULL,62.993,2009,2021
Somerhall,Grand Prix,Yes,1078479,Sir Donnerhall I,Archipel,Germany,Theo Berkemeier,Oldenburg,No,NULL,61.145,2009,2023
HS Wrevolution,Grand Prix,Yes,1078148,Wistar,Rubin,USA,Charlene Summers,Hungarian Warmblood,No,NULL,66.967,2009,2017
Fancy This GCF,Prix St. Georges,No,1054011,Fred Astair,NULL,USA,Sharon Garner,Hanoverian/Connemara,No,NULL,NULL,2009,2019
Desaronno,I-A,No,1078702,De Kooning,Rubinstein,Germany,Emanuel Manor,Oldenburg,No,NULL,NULL,2009,2021
DG Brendo,FEI 5 Year Old,No,1086075,Florencio I,Volckmar,USA,Bianco Cavallino Farms,KWPN,No,NULL,NULL,2010,2011
DG Bantana,Fourth Level,No,1086074,Flemmingh,Hemmingway,Netherlands,P. Verdellen,KWPN,No,NULL,NULL,2010,2021
Sakramenter,I-1,No,1085321,Samarant,Westminster,Germany,Hermana Niemann,Oldenburg,No,NULL,NULL,2010,2019
Somer Hit,I-2,No,1064432,Sandro Hit,Rotspon,USA,Maurine Swanson,Hanoverian,No,NULL,NULL,2009,2024
Rania,I-1,No,1059588,Don Schufro,Rambo,USA,Susan Bender,Danish Warmblood,No,NULL,NULL,2010,2024
Sir Velo,Grand Prix,Yes,1084380,Sandro Bedo,Florestan I,Germany,J. Deipenbrock-Strunk,Westfalen,No,NULL,62.841,2010,2018
Federer,Prix St. Georges,No,1083318,Fidertanz,Rubinstein,USA,Nancy Holowesko,Oldenburg,No,NULL,NULL,2010,2024
De Feiner Star,Prix St. Georges,No,1053770,De Laurentis,Feiner Stern,USA,Elizabeth Dorsett,Oldenburg,No,NULL,NULL,2010,2013
Folcano,Grand Prix,No,1086223,Florestan I,Worldman,Germany,Kahlert Friedrich-Wilhelm,Westfalen,No,NULL,53.32,2010,2024
San City,FEI 6 Year Old,No,1076104,San Remo,Bolero,Germany,Marefield Meadows,Hanoverian,No,NULL,NULL,2010,2012
Rapazzini,Third Level,No,1058123,Royal Prince,Letkiss,USA,Caryn Vesperman,Hanoverian,No,NULL,NULL,2010,2014
Born in the USA GCF,Second Level,No,1053939,Bonheur,Wonderland,USA,Sharon Garner,Hanoverian,No,NULL,NULL,2010,2013
Romantico SF,I-2,No,1084639,Romancero H,Wenzel I,Germany,Gerhard Stahmann,Hanoverian,No,NULL,NULL,2010,2019
Ana Isabellah,First Level,No,1082784,Autocrat,Inschallah,USA,Sherry White,Hanoverian,No,NULL,NULL,2009,2015
Edelrubin,Grand Prix,No,1086222,Ehrentusch,Rubiloh,Germany,Norbert Borgmann,Westfalen,No,NULL,61.688,2010,2017
Pie,I-1,Yes,1069959,Worldly,World Cup I,Germany,Otto Rudolf Fuchs,Hanoverian,No,NULL,NULL,2008,2017
Wrigley,Grand Prix,Yes,1067865,Son De Niro,Rohdiamant,Netherlands,K.M.D. Duiverman and J.TH. Jeremiasse,KWPN,No,NULL,66.788,2007,2024
Jil Sander,Grand Prix,No,1058560,Don Larino, ,Germany,Marlene Bruhnken-Siebolds,Oldenburg,No,NULL,65.426,2008,2016
Destiny,Grand Prix,Yes,1078250,Diamond Hit,Rubinstein,Denmark,Poul Erik Nielsen,Danish Warmblood,No,NULL,66.929,2010,2022
Vindicator,Grand Prix,Yes,1053378,OO Seven,Ferro,USA,Natalie Bryant,KWPN,No,NULL,64.433,2006,2019
Cleopatra,Grand Prix,Yes,1075106,Diamond Hit,Canaster,Germany,Ursula Draxler,Oldenburg,No,NULL,67.8,2008,2014
Sandro Paix,Grand Prix,No,1078072,Sandro Hit,Absatz,Germany,Dr. Rolf-Peter Schulze,Oldenburg,No,NULL,65.602,2009,2024
Eclipse BR,I-2,Yes,1067341,Gabeno,Castiblanco 1980,USA,Julie Stammler,International Andalusian and Lusitano Horse Association,No,NULL,NULL,2007,2021
Donna Tella,FEI 5 Year Old,No,1090375,Don Picardi,Glorieux,NULL,NULL,Oldenburg,No,NULL,NULL,2011,2011
Biscaya,FEI 6 Year Old,No,1062522,Johnson,Argentinus,Germany,Claus Huppe,Oldenburg,No,NULL,NULL,2010,2012                                         
Walk the Line,Grand Prix,Yes,1084174,World of Dreams,De Niro,Germany,Gerhard Thomes,Oldenburg,No,NULL,64.666,2010,2024                            
Belvedere,I-2,No,1086045,Biotop,Duntroon,Germany,Irene Bayer,Oldenburg,No,NULL,NULL,2010,2022
Folkestone OLD,I-1,Yes,1089283,Fidertanz,Rubinstein,Germany,Rosmarie Boelts,Oldenburg,No,NULL,NULL,2011,2016
Riccidoff,I-1,No,1091439,Riccione,Don Davidoff,Germany,Gestut Lewitz,Hanoverian,No,NULL,NULL,2011,2017
Allegro,Prix St. Georges,No,1084899,Son De Niro,Ferro,Netherlands,G.H.J. Seelen,KWPN,No,NULL,NULL,2010,2024
Allure S,Grand Prix,Yes,1068353,Rousseau,Farrington,USA,Sonnenberg Farm,KWPN,No,NULL,66.313,2010,2017
Roark,Prix St. Georges,Yes,1077701,Fabe 348,Teunis 332,USA,Kimberly Perkins,Friesian,No,NULL,NULL,2009,2019
Festivo RS,I-1,Yes,1083986,Gaucho III,Estepeno VI,Spain,Juan Jose Rodriguez,PRE,No,NULL,NULL,2010,2022
Ruffino,Prix St. Georges,No,1083038,Rubino Belissimo,Davignport,USA,Lunita Turner,Hanoverian,No,NULL,NULL,2009,2015
Antheney Hill,Third Level,No,1092083,Trento B,Barley Hill xx,Netherlands,P. Schurgers,KWPN,No,NULL,NULL,2011,2015
Furst Fiorano,I-2,Yes,1091557,Furst Piccolo,Donnerbube I,Germany,Zg Bauerdick-Vorwerk,Westfalen,No,NULL,NULL,2011,2020
Horizon,Grand Prix,Yes,1091221,Hotline,Don Schufro,Germany,Frank Grote,Oldenburg,No,NULL,71.566,2011,2018
Regalo,Prix St. Georges,No,1090918,Rosario,Nandino,Germany,Ulrich Henschke,Oldenburg,No,NULL,NULL,2011,2022
Casanova,Fourth Level,No,1090890,Lauwersmeer,Indiaan,USA,Deborah Harrison,KWPN,No,NULL,NULL,2011,2014
Hot Mama,Prix St. Georges,No,1091390,Hotline,Londonderry,USA,Linda Woltz,Hanoverian,No,NULL,NULL,2011,2016
Caliente DG,Grand Prix,No,1083671,OO Seven,Contango,USA,DG Bar Ranch,KWPN,No,NULL,65.979,2010,2019
Sir Sherlock,I-1,Yes,1081616,Sir Donnerhall I,Sherlock Holmes,Germany,Klaus and Inge Kuhn,Hanoverian,No,NULL,NULL,2011,2019
Holeandra,Grand Prix,No,1091449,Hotline,Don Bosco,Canada,Kathleen Richardson,Hanoverian,No,NULL,56.902,2011,2021
San Regilio,Prix St. Georges,No,1089287,San Schufro,Rohdiamant,Netherlands,Annebeth Reesink,Westfalen,No,NULL,NULL,2010,2015
Leonardo,Grand Prix,Yes,1077951,Solos Landtinus,Rambo,USA,Oak Hill Ranch,Danish Warmblood,No,NULL,61.812,2011,2022
Citation ISF,Grand Prix,No,1065659,Contango,Jazz,USA,Iron Spring Farm,KWPN,No,NULL,60.462,2011,2021
Chancellor WAS,Prix St. Georges,No,1087873,Cathalido,Columbus,USA,Janice Marquardt,Holsteiner,No,NULL,NULL,2011,2023
Barcelona RH,Third Level,No,1091420,Bretone,Weltmeyer,USA,Verne Batchelder,Hanoverian,No,NULL,NULL,2011,2017
Favulous,I-1,No,1088998,Fabuleux,Walldorf I,USA,Mary Messinger,Hanoverian,No,NULL,NULL,2011,2019
Petite Belle,I-1,Yes,1086646,Patrick,Zodiac xx,USA,Linda Wanstreet,ISR,No,NULL,NULL,2010,2021
Agastrofos,Grand Prix,No,1059559,Briar,Nocturne,Sweden,Hans-Yngve Goransson,Swedish Warmblood,No,NULL,67.896,2007,2018
Victorious,Grand Prix,No,1046691,Patijnd,Farao,USA,Char Pinkerton,KWPN,No,NULL,62.739,2006,2021
Frederik,Grand Prix,No,1057828,Future Cup,Unknown,Canada,Kars Riding School,Oldenburg,No,NULL,65.337,2007,2016
Adesco C,Grand Prix,Yes,1046696,Ariadus,Caribo GL,USA,Susan and Ron Svarich,Holsteiner,No,NULL,62.442,2007,2018
Weltdorff,Grand Prix,Yes,1081649,Weltmeyer,Ludendorff,Germany,Klaus Rissling,Hanoverian,No,NULL,64.293,2009,2016
Veva Rose,Grand Prix,No,1091827,Gribaldi,Sultan,Netherlands,B.J. Hollaar,KWPN,No,NULL,58.127,2011,2024
Her Highness,Grand Prix,Yes,1022793,Hohenstein,Weltmeyer,Germany,Matthias Ohmen,Hanoverian,No,NULL,67.98,2012,2020
Zania,Grand Prix,Yes,1070709,Sir Sinclair,Hierarch,Netherlands,B.J. Odink,KWPN,No,NULL,67.773,2008,2021
Wies V/D Klumpert,Grand Prix,No,1082861,Future,Havidoff,Netherlands,J. Vloet,KWPN,No,NULL,65.316,2010,2016
Wyatt Star,Grand Prix,Yes,1056374,Gribaldi,Krack C,Netherlands,E.C. Idsardi-Sinnige,KWPN,No,NULL,66.535,2008,2016
Simply Nymphenburg,Grand Prix,Yes,1095986,Sir Donnerhall I,Weltmeyer,Germany,Peter Enders,Hanoverian,No,NULL,65.435,2012,2024
Kir Royal,Fourth Level,No,1095923,Koepenick,Rotspon,Germany,Norbert Humpf,Wurttemberg,No,NULL,NULL,2012,2017
KGF Harmony,Fourth Level,No,1085484,Hohenstein,Warkant,Germany,Henning Schulze,Hanoverian,No,NULL,NULL,2011,2012
Skywalker HW,Grand Prix,No,1091826,Sandro Hit,Hohenstein,USA,Irene Hoeflich-Wiederhold,Hanoverian,No,NULL,60.254,2011,2018
Beaumont DG,Fourth Level,No,1085008,Contango,Krack C,USA,DG Bar Ranch,KWPN,No,NULL,NULL,2010,2014
Highschool MCF,Grand Prix,No,1084636,Hochadel,Rotspon,Germany,Jens and Andrea Stueven,Hanoverian,No,NULL,66.564,2011,2023
Solitaire,I-1,Yes,1090256,Sandro Hit,De Niro,Germany,Stall Troff,Oldenburg,No,NULL,NULL,2011,2022
Elfenfeuer,Grand Prix,Yes,1097042,Florencio I,Sion,Germany,Ewald Grotelueschen,Oldenburg,No,NULL,68.478,2012,2016
Freedom,Grand Prix,Yes,1081974,Feuri,Walk On Top,USA,Annie B Farm,Oldenburg,No,NULL,65.045,2012,2024
Boccaccio IOF,I-1,No,1075909,Bugatti Hilltop,Rubinstein,USA,Hilltop Farm,Hanoverian,No,NULL,NULL,2011,2018
Clapton JP,Grand Prix,Yes,1089653,UB 40,Ramiro Z,USA,Peggy Mills,KWPN,No,NULL,65.421,2011,2018
Hot Royal,Third Level,No,1095310,Hotline,Rubin Royal,Germany,Lutz Schirrmacher and Klaus Schadick,Hanoverian,No,NULL,NULL,2012,2014
Summersby,Grand Prix,Yes,1095742,Sir Donnerhall I,Rosentau,Germany,Martin Gotze,Hanoverian,No,NULL,63.832,2012,2019
Karat Cf,I-1,No,1089498,Lepanto I,Ferro,USA,Shawna Camphaug,International Andalusian and Lusitano Horse Association,No,NULL,NULL,2011,2015
San Dante,I-1,Yes,1062231,Sandro Hit,Weltmeyer,USA,Diane Nauman,Hanoverian,No,NULL,NULL,2012,2024
Hemmingway,I-1,No,1075520,Hofrat,Archipel,USA,Angela Barilar,Oldenburg,No,NULL,NULL,2012,2018
Qredit Hilltop,Grand Prix,Yes,1075748,Quaterback,Dream of Glory,USA,Judy Yancey,Oldenburg,No,NULL,67.956,2012,2024
Dilona,I-1,Yes,1095596,Lord Leatherdale,Kennedy,Netherlands,H. Schreurs,KWPN,No,NULL,NULL,2012,2019
Don Frederic HVH,Prix St. Georges,No,1075515,Don Frederico,Weltbekannt,USA,High Valley Hanoverians,Hanoverian,No,NULL,NULL,2012,2020
Supremat OLD,Third Level,No,1095151,Sandro Hit,Rubinstein,Germany,Stall Troff,Oldenburg,No,NULL,NULL,2012,2017
Rohan,USEF 4 Year Old,No,1090883,Rock Forever,Fidermark,Germany,Stefan Kupitz,Westfalen,No,NULL,NULL,2012,2012
Whitny,Second Level,No,1094100,Widmark,Rotspon,USA,Jill M. Vonderhaar,Hanoverian,No,NULL,NULL,2012,2013
Ballerina DMV,FEI 5 Year Old,No,1093540,Balletmeister,DiMaggio,USA,Dreamcatcher Meadows,Hanoverian,No,NULL,NULL,2012,2016
Dalina DG,Grand Prix,Yes,1096125,Jazz,Contango,USA,DG Bar Ranch,KWPN,No,NULL,64.511,2012,2020
Syncopation Rk,Prix St. Georges,No,1074108,Sinatra Song,Werbellin,USA,Emmett W. Turner,Hanoverian,No,NULL,NULL,2012,2021
Winchester,Grand Prix,No,1095377,World of Dreams,Furst Heinrich,Germany,Dieter Weichert,Hanoverian,No,NULL,67.975,2012,2024
Veronica,Third Level,No,1075345,Vinca,Jazz,USA,Ashcombe Sporthorses,Oldenburg,No,NULL,NULL,2012,2015
Sir Steinerman,Grand Prix,No,1096602,Stedinger,Don Primero,USA,Marlace Hughes,Hanoverian,No,NULL,62.873,2012,2024
Fortissimo B,FEI 5 Year Old,No,1081998,Fabuleux,Rubinstein,USA,Barbara Schmidt and Frederick Abblett,Hanoverian,No,NULL,NULL,2012,2013
Hadrian HVH,Second Level,No,1075519,Hotline,Welser,USA,High Valley Hanoverians,Hanoverian,No,NULL,NULL,2012,2015
Wild Dancer,Grand Prix,Yes,1079789,Florett AS,Mantovani,Netherlands,D.W. Wijnveen and J.W. Greve,KWPN,No,NULL,65.129,2009,2017
Zanzibar,Grand Prix,No,1080018,Don Schufro,Flemmingh,Netherlands,A. DeBoer,KWPN,No,NULL,66.069,2009,2014
H Wrendition,Grand Prix,Yes,1078953,Wistar,Petersburg xx,USA,Charlene Summers,Hungarian Warmblood,No,NULL,59.018,2009,2020
Elijah,Grand Prix,No,1013250,Nico,Onassis,USA,Sherry Koella,Friesian/Trakehner,No,NULL,61.294,2007,2024
Kastel's Adventure,Grand Prix,Yes,1101019,Special D,Mondriaan,Netherlands,DHR Naber,KWPN,No,NULL,69.8,2013,2015
Rosa Cha W,Grand Prix,Yes,1085563,Regardez Moi,Richmead Medallion,Australia,Heath Ryan,Australian Warmblood,No,NULL,64.063,2010,2024
Saphira,Grand Prix,Yes,1068542,Florencio I,Chairman,Germany,Wolfgang Sames,Oldenburg,No,NULL,65.407,2008,2018
Bahai,Grand Prix,Yes,1079465,Baroncelli,Rotspon,Germany,Otto Rudolf Fuchs,Hanoverian,No,NULL,63.87,2009,2024
Nobby V.D. Shamrock,I-1,Yes,1093693,Beart 411,NULL,Netherlands,A.G. Karnbeek Deldenerdijk,Friesian,No,NULL,NULL,2011,2014
Fortune and Fame,I-2,Yes,1088838,Florencio I,Bonjour,Germany,Doerte Gramberg,Oldenburg,No,NULL,NULL,2010,2022
Suraya,Grand Prix,No,1095017,Sandro Hit,Rubinstein,Netherlands,A. Reesink-Brouwer,Westfalen,No,NULL,58.7,2012,2022
Lord Sisley,Grand Prix,No,1068008,Lord Sinclair,Landadel,Germany,Heinz Schulze,Oldenburg,No,NULL,62.991,2009,2017
Lakota HD,Grand Prix,No,1084731,Mick,NULL,USA,Marysue Jacobs,American Warmblood,No,NULL,64.03,2010,2021
Zabaco,Grand Prix,No,1066567,Contango,Juventus,USA,Beth Godwin,KWPN,No,NULL,66.607,2011,2016
Vitalis,I-1,Yes,1101036,Vivaldi,D-Day,Netherlands,A. de Crom,KWPN,No,NULL,NULL,2013,2014
Sunshine Tour,Grand Prix,Yes,1096664,Sir Donnerhall I,Alabaster,Germany,Brigitte Zilling,Oldenburg,No,NULL,66.555,2012,2020
Calvin Klein,Prix St. Georges,Yes,1090116,Dolany,Weyden,USA,DG Bar Ranch,KWPN,No,NULL,NULL,2011,2022
Ribery 20,Prix St. Georges,No,1093870,Royal Blend,NULL,Germany,Familie Seefeld,Hanoverian,No,NULL,NULL,2013,2017
Don Fredo HD,Grand Prix,Yes,1094155,Don Frederico,Pik Bube,Germany,Ferdinand Sanladerer,Oldenburg,No,NULL,66.823,2011,2018
Sambastein,Prix St. Georges,No,1089527,Samarant,Rubinstein,Belgium,Ann Rutten,Oldenburg,No,NULL,NULL,2011,2024
Lysias,Prix St. Georges,Yes,1094301,Licotus,Royal Diamond,Germany,Steffi Becker,Oldenburg,No,NULL,NULL,2012,2024
Fashion Designer OLD,I-2,No,1101394,Faustinus,De Niro,Germany,Heike Kind,Oldenburg,No,NULL,NULL,2013,2018
DG Dancing Queen,Prix St. Georges,No,1102560,Jazz,Junior STV,USA,DG Bar Ranch,KWPN,No,NULL,NULL,2013,2020
Fiderhit OLD,Prix St. Georges,Yes,1099803,Fidertanz,Sandro Hit,Germany,Josef Gramann,Oldenburg,No,NULL,NULL,2012,2021
Benefactor RRS,Prix St. Georges,No,1096726,Bonheur,Rubinstein,USA,Melinda Walton,Hanoverian,No,NULL,NULL,2012,2017
Doctor Wendell MF,Grand Prix,Yes,1075318,Don Principe,Sandro Hit,USA,Maryanna Haymon,Hanoverian,No,NULL,70.136,2012,2021
Di Solitaire,Fourth Level,No,1099009,Trento B,Darwin,Netherlands,G. Mander,KWPN,No,NULL,NULL,2012,2023
Samara,Third Level,No,1099702,Samarant,Davignon I,USA,Eliza Rutherford,Hanoverian,No,NULL,NULL,2012,2017
Rebellienne HVH,Prix St. Georges,No,1083018,Rotspon,Welser,USA,High Valley Hanoverians,Hanoverian,No,NULL,NULL,2012,2021
Encore,Grand Prix,Yes,1101447,Jazz,Sir Sinclair,USA,Lisa Dickman,KWPN,No,NULL,66.286,2013,2024
Elian,Grand Prix,Yes,1100945,Sir Oldenburg,Santano,Netherlands,J.H. Dekker,KWPN,No,NULL,58.565,2013,2023
DG Edorijke,I-1,No,1102150,Spielberg,Jazz,Netherlands,PWTJ Pansier,KWPN,No,NULL,NULL,2013,2019
Fairy Tale LH,Grand Prix,No,1101672,Furst Romancier,Cavan,France,Jean Claude Ferrand,Hanoverian,No,NULL,59.982,2013,2024
Quantum Jazz,Grand Prix,Yes,1101462,Quaterback,Jazz,USA,Judy Yancey,Oldenburg,No,NULL,66.154,2013,2021
Fabrege MF,USEF 4 Year Old,No,1081718,Fidertanz,De Niro,USA,Maryanna Haymon,Hanoverian,No,NULL,NULL,2013,2013
Dow Jones 1,Grand Prix,No,1100825,Desperados,Ehrenworth,Germany,Wilfred Otten,Hanoverian,No,NULL,64.899,2013,2024
Sadira TWF,I-1,No,1080696,Starlight,Routinier,USA,Laureen Megan,Oldenburg,No,NULL,NULL,2013,2018
Endeavor,Grand Prix,No,1100784,Armani,Gribaldi,Netherlands,C.F. Van Mook,KWPN,No,NULL,62.283,2013,2024
Emile,Third Level,No,1083317,Rousseau,Ijsselmeer,USA,Susan Howard,KWPN,No,NULL,NULL,2013,2017
Ferrari,Grand Prix,No,1101412,Florestan I,Domburg,USA,James Heath,Westfalen,No,NULL,65.423,2013,2024
Lord's Prophet Elijah,First Level,No,1100954,Mondmiresche,NULL,USA,Brycie Wynne,Trakehner,No,NULL,NULL,2013,2013
Floretienne,Grand Prix,Yes,1101450,Florestan I,Jazz,USA,Judy Yancey,Oldenburg,No,NULL,66.668,2013,2019
Donatus,I-2,No,1105663,Diamond Hit,Rubinstein,Germany,Gerd Burges,Oldenburg,No,NULL,NULL,2013,2014
Zonnekoning,Grand Prix,Yes,1100637,Florett AS,Topas,Netherlands,J.B. Kamp Haers,KWPN,No,NULL,66.06,2013,2023
Rock Solid,I-1,No,1078911,Rosenthal,Parabol,USA,Angela Barilar,Oldenburg,No,NULL,NULL,2011,2014
Donna Carina 6,I-1,No,1079106,Don Primero,Castro,Germany,Arnold Wegbuender,Oldenburg,No,NULL,NULL,2009,2015
Montana,Grand Prix,Yes,1081215,Rambo,Loran,USA,Oak Hill Ranch,Danish Warmblood,No,NULL,65.234,2009,2024
Rocky Lane,Grand Prix,Yes,1095313,Rock Forever,Rombach,Germany,Marie and Heinz Konemann,Westfalen,No,NULL,66.583,2012,2021
Antano BH,Grand Prix,No,1094880,Tuschinski,Obelisk,Netherlands,Black Horse B.V.,KWPN,No,NULL,59.728,2013,2019
Apfelkorn,I-1,No,1078538,Sandreo,Goodtimes,Netherlands,NWJ Krol,KWPN,No,NULL,NULL,2009,2024
Havajano,I-1,No,1088961,Hochadel,Lauries Crusador xx,Germany,Reinhard Braack,Hanoverian,No,NULL,NULL,2014,2024
